Charger Name,Address,Suburb,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types,Latitude,Longitude
Heyfield Apex Park,Davis Street & George Streetreet,Heyfield,VIC,3858,50,$0.40/kWh,2,33,-37.9802215,146.7839068
CTR Mooroopna,"77 Midland Highway,",Mooroopna,VIC,3629,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"2, 33",-36.3948314,145.3597962
Shepparton Observation Tower,"8 Fraser Street, ",Shepparton,VIC ,3630,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"2, 33",-36.3804002,145.400295
Evie Camperdown,2 Bath Street,Camperdown,VIC,3260,"50, 50",$0.45 per kWh,1,"33, 2",-38.2310919,143.1453113
Evie Benalla,Denny Street,Benalla,VIC,3672,"50, 50",$0.50 / kWh,1,"33, 2",-36.5502257,145.9841361
Inglewood Town Hall,Storm Lane,Inglewood,VIC,3517,"50, 50",$0.40 per kWh. Parking overstay charges may apply,1,"33, 2",-36.5754889,143.8675544
Chargefox Yarram,156 Grant Street,Yarram,VIC,3971,"50, 50",Payment Required $0.40 per kWh (at all times),1,"33, 2",-38.5644553,146.674105
Evie Maffra,4 Purdy Ln,Maffra,VIC,3860,"50, 50",$0.45 per kWh,1,"33, 2",-37.9669645,146.9751243
Port of Sale,Canal Road,Sale,VIC,3850,"50, 50",$0.40 ,2,"2, 33",-38.1125043,147.0626607
Mansi on Raymond,476 Raymond Street,Sale,VIC,3850,22,$0.40/kWh,1,25,-38.1017687,147.0662882
Tesla Destination Charger,Queen Street,Ararat,VIC,3377,22,Free for Tesla / Hotel guests,1,1036,-37.2805548,142.9347172
CTR Echuca [Evie],438 High Street,Echuca,VIC,3564,"50, 50, 25, 25",$0.40 ,1,"2, 33, 33, 2",-36.1273038,144.7481535
Evie Ararat,Western Highway,Ararat,VIC,3377,"50, 50",$0.50 / kWh,1,"33, 2",-37.2731498,142.9223972
NRMA Ararat,Taylor Street,Ararat,VIC,3377,"150, 150",66c / 60c for members,4,"33, 2",-37.2849143,142.9266231
Glenrowan North [bp pulse],Hume Freeway,Glenrowan,VIC,3675,"75, 75, 75",$0.55/kWh,4,"33, 33, 2",-36.4678739,146.2120051
CTR Wedderburn CV008,67 High Street,Wedderburn,VIC,3518,"50, 50","0.40/kWh + While parked, not charging: 4.00/hr after 60 mins",2,"33, 2",-36.4179058,143.613474
Evie St Arnaud,"9, Walker Street",St Arnaud,VIC,3478,"50, 50",$0.50 / kWh,2,"33, 2",-36.6150356,143.2586388
Evie Wangaratta,2 - 6 Docker St,Wangaratta,VIC,3676,"50, 50",$0.45 per kWh,1,"33, 2",-36.3546997,146.3226587
Ovens Supercharger,4994 Great Alpine RD,Ovens,VIC,3738,120,AUD 0.42/kWh;other tariffs for older cars,4,33,-36.5866587,146.7585845
Evie Stawell,Skene Street,Stawell,VIC,3380,"50, 50",$0.50 / kWh,1,"33, 2",-37.0584716,142.784331
Tesla Superchargers Stawell,Church Street,Stawell,VIC,3380,250,$0.66/kWh,12,33,-37.0538014,142.781465
Feathertop Winery,6619 Great Alpine Road,Porepunkah,VIC,3740,22,Free,2,1036,-36.6758176,146.888369
Evie - Bright,24 Wills Street,Bright,VIC,3741,"50, 50",$0.45 per kWh,1,"33, 2",-36.7291477,146.9619633
Evie Yarrawonga,6 - 12 Hovell Street,Yarrawonga,VIC,3730,"50, 50",$0.45 per kWh. Parking overstay charges may apply,1,"33, 2",-36.0100456,146.003227
The Sebel Silverwoods Yarrawong,40 Silverwoods Blvd,Yarrawonga,VIC,3730,"50, 50",$0.30 per kWh (at all times),1,"33, 2",-36.0020815,146.0385134
Tesla Supercharger,21-23 Gateway Road,Warnambool,VIC,3280,250,$0.78/kWh,3,33,-38.3809834,142.5190004
Warnambool Tourist Information Centre,91 Merri Street,Warnambool,VIC,2380,"50, 50",payment may be required,1,"2, 33",-38.3893771,142.4848434
Callaghan Motors,1165 Raglan Parade,Warnambool,VIC,3280,22,$0.50 per kWh,2,25,-38.3630216,142.4558085
Evie Dunkeld,83 Wills Street,Dunkeld,VIC,3294,"50, 50",$0.45 per kWh,1,"33, 2",-37.6508894,142.3426413
RACV Solar,35 Payne Street,Bairnsdale,VIC,3875,22,$0.25 per kWh,1,25,-37.8337755,147.606745
Evie Cohuna,King George Street,Cohuna,VIC,3568,"50, 50",$0.40 per kWh,1,"33, 2",-35.8036415,144.2174863
Bairnsdale Chargefox,Nicholson Street Carpark,Bairnsdale,VIC,3875,"50, 50",AUD 0.40 per kWh,1,"33, 2",-37.8259343,147.6250383
Evie Bairnsdale ,9 Francis Street,Bairnsdale,VIC,3875,"50, 50",$0.45 per kWh. Parking overstay charges may apply,1,"33, 2",-37.8240157,147.6295602
Bairnsdale Coles,35 Nicholson Street,Bairnsdale,VIC,3875,250,$0.70 per kWh,3,33,-37.8245543,147.6321137
Yackandandah Community Development Company,16 Windham Street,Yackandandah,VIC,3749,"50, 50",AUD 0.54 per kWh (3pm-10am) AUD 0.37 per kWh (10am - 3pm),2,"33, 2",-36.3139645,146.8387437
Omeo - Tongio Road,Tongio Road,Omeo,VIC,3898,"50, 50",AUD 0.40 per kWh,2,"33, 2",-37.1040305,147.5941117
Evie Wycheproof,Fairview Street,Wycheproof,VIC,3527,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"33, 2",-36.0788606,143.2259814
NRMA Wycheproof,361 Broadway,Wycheproof,VIC,3527,"150, 150",66c / 60c for members,4,"33, 2",-36.0754526,143.2251284
Chargefox - Barnawartha North,Murray Valley Highway,Barnawartha North,VIC,3690,"50, 50, 100, 350, 350, 350, 50, 50",AUD 0.65/kWh,4,"2, 33, 2, 33, 33, 2, 33, 2",-36.1092061,146.8562326
Evie Kerang,1 -3 Albert Street,Kerang,VIC,3579,"50, 50",$0.40 per kWh. Idle fee $4 per hour,1,"33, 2",-35.734444,143.9220351
Foodworks Baranduda,34 Verbena Street,Baranduda,VIC,3691,11,$0.23/kWh,4,1036,-36.1794892,146.9472525
Deni RSL,72 End Street,Deniliquin,NSW,2710,22,FREE,8,25,-35.5355744,144.9673445
Wodonga Supercharger,5-13 Havelock Street,Wodonga,VIC,3690,120,AUD 0.42/kWh;other tariffs for older cars,6,33,-36.1228039,146.8906819
Evie Hamilton,Scoresby Street,Hamilton,VIC,3300,"50, 50",$0.50 / kWh,2,"33, 2",-37.743183,142.0170759
Tesla Supercharger Albury,Stanley Street,Albury,NSW,2640,250,$0.69/kWh,12,33,-36.0785215,146.9123737
Chargefox,565 Mudge Street,Hamilton Valley,NSW,2641,"50, 50",$0.15 per kWh (at all times) on the Chargefox network,1,"2, 33",-36.0266576,146.8974356
Wuality Resort Siesta,422 Wagga Road,Lavington,NSW,2641,"7, 7, 7, 7",Free,4,"25, 25, 25, 25",-36.0460808,146.9433974
Evie Lakes Entrance,2 Marine Parade,Lakes Entrance,VIC,3909,"50, 50",$0.45 per kWh. Parking overstay charges may apply,1,"33, 2",-37.8823831,147.973405
Lakes Entrance RSL,221 The Esplanade,Lakes Entrance,VIC,3909,22,30c/kWh,1,25,-37.8809966,147.9808472
RACV - Horsham,126 Baillie Street,Horsham,VIC,3400,"350, 50, 350, 50",$0.55–$0.65 / kWh,4,"33, 33, 2, 2",-36.7115308,142.2019539
Horsham Supercharger,126 Wilson Street,Horsham,VIC,3400,250,AUD 0.42/kWh;other tariffs for older cars,3,33,-36.716125,142.193301
NRMA Jerilderie,Powell Street,Jerilderie,NSW,2716,"50, 50",FREE,1,"33, 2",-35.3554442,145.7260964
Evie Warracknabeal,18 - 20 Woolcock Street,Warracknabeal,VIC,3393,"50, 50",$0.45 per kWh,1,"33, 2",-36.2505788,142.3942638
Evie Portland,Henty Street,Portland,VIC,3305,"50, 50",$0.50 / kWh,2,"33, 2",-38.3462035,141.6005948
Electric Vehicle Charging Station Dimboola,Lloyd Street,Dimboola,VIC,3414,22,Free or ~$0.25 / kWh,1,25,-36.4555088,142.027553
CTR Swan Hill CV002,135 Curlewis Street,Swan Hill,VIC,3585,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,2,"33, 2",-35.3409876,143.5617643
Orbost Chargefox,Wolseley Street,Orbost,VIC,3888,"50, 50",AUD 0.40 per kWh,1,"33, 2",-37.7067108,148.4610238
Tesla Supercharger Holbrook,Swift Street,Holbrook,NSW,2644,250,$0.69 / kWh,1,33,-35.7194873,147.3189374
Holbrook [NRMA],Submarine Park,Holbrook,NSW,2644,"50, 50",$0.75 - $0.93 /kWh,1,"33, 2",-35.7185652,147.3169295
CTR Sea Lake,111 Best Street,Sea Lake,VIC,3533,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,2,"2, 33",-35.5039164,142.8516534
Evie Dartmoor,73 Greenham Street,Dartmoor,VIC,3304,"50, 50",$0.45 per kWh,1,"33, 2",-37.9220581,141.276319
Anzac Avenue Parking,12 Anzac Avenue,Edenhope,VIC ,3318,"50, 50",Payment Required $0.40/kWh,1,"33, 2",-37.0366847,141.2967716
Nelson St Parking/Charging,111 Nelson Street,Nhill,VIC,3418,22,Free,2,25,-36.3331639,141.6489214
Snowy River Avenue Car Park,3 Snowy River Avenue,Jindabyne,NSW,2627,"50, 50",Chargers free of charge for now but will require you to be a member in the future or you will need to pay per charge.,2,"33, 2",-36.4156089,148.6221047
Mont Albert (User Added),200 Elgar Rd,Mont Albert,VIC,3127,"50, 50",$0.40 per kWh,1,"33, 2",-37.8221,145.1139
